23,15,2,14,50,6.51,3.2
23,15,2,14,50,14.52,2.1
23,30,2,14,50,1.37,18
23,30,2,14,50,3.45,9.6
23,30,2,14,50,5.56,3.3
23,30,2,14,50,1.4,17.9
23,30,2,14,50,1.69,16.9
23,30,2,14,50,1.6,17
23,30,2,14,50,3.57,8.9
23,30,2,14,50,5.36,3.7
23,30,2,14,50,16.65,2.1
23,45,2,14,50,0.69,19.1
23,45,2,14,50,1.69,13.4
23,45,2,14,50,2.66,12.4
23,45,2,14,50,0.68,17.9
23,45,2,14,50,0.66,18.9
23,45,2,14,50,0.84,18.3
23,45,2,14,50,0.88,18.2
23,45,2,14,50,1.6,13.7
23,45,2,14,50,3.81,1.3
23,15,2,14,50,18.75,4.3
23,15,2,14,50,8.9,3
23,15,2,14,50,14.66,2
23,30,2,14,50,6.87,6.5
23,30,2,14,50,17.33,1.8
23,30,2,14,50,6.4,5.5
23,45,2,14,50,6.27,3.2
23,45,2,14,50,0.68,18
23,45,2,14,50,3.81,1.3
51,15,2,14,50,0,19.6
51,15,2,14,50,0,14.3
51,15,2,14,50,0,20
51,30,2,14,50,0,20.9
51,30,2,14,50,0,21.7
51,30,2,14,50,0,21
51,45,2,14,50,0,21.2
51,45,2,14,50,0,27.4
51,45,2,14,50,0,27.8
51,15,2,14,50,1.33,18.5
51,15,2,14,50,7.48,3.5
51,15,2,14,50,4.47,6.3
51,15,2,14,50,0.77,22.3
51,15,2,14,50,0.8,22.4
51,15,2,14,50,0.9,21.7
51,15,2,14,50,0.94,21.5
51,15,2,14,50,7.56,3.5
51,15,2,14,50,3.3,7.5
51,30,2,14,50,0,20.4
51,30,2,14,50,5.14,6.2
51,30,2,14,50,5.46,2.4
51,30,2,14,50,0.65,23.8
51,30,2,14,50,0.68,23.9
51,30,2,14,50,0.77,23.5
51,30,2,14,50,0.77,23.4
51,30,2,14,50,1.7,14
51,30,2,14,50,4.45,4.2
51,45,2,14,50,0,28.3
51,45,2,14,50,2.69,7.6
51,45,2,14,50,0.34,26.2
51,45,2,14,50,0.31,31.6
51,45,2,14,50,0.4,31
51,45,2,14,50,0.41,30.8
51,45,2,14,50,4.73,3
51,45,2,14,50,4.38,3.4
51,45,2,14,50,4.17,3.9
51,15,2,14,50,8.95,3
51,15,2,14,50,6.9,8
51,15,2,14,50,3.41,6.8
51,30,2,14,50,9.9,5.9
51,30,2,14,50,4.86,1.7
51,30,2,14,50,1.72,13.8
51,45,2,14,50,0.34,26.9
51,45,2,14,50,0.34,31.7
51,45,2,14,50,3.08,6.1
